GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project_Timetable,com.example.project_timetable,Some,10,0,0,0,4,0,3,0,3,0
Project_Timetable,com.example.project_timetable,SecondaryFunctions,96,0,8,0,27,0,6,0,2,0
Project_Timetable,com.example.project_timetable,Teachers,205,0,24,0,41,0,21,0,9,0
Project_Timetable,com.example.project_timetable,Marks,291,0,40,0,55,0,28,0,8,0
Project_Timetable,com.example.project_timetable,TaskList,186,0,22,0,41,0,19,0,8,0
Project_Timetable,com.example.project_timetable,Controller,455,0,10,0,117,0,21,0,16,0
Project_Timetable,com.example.project_timetable,Controller.Status,33,0,0,0,6,0,1,0,1,0
Project_Timetable,com.example.project_timetable,HelloController,8,0,0,0,3,0,2,0,2,0
Project_Timetable,com.example.project_timetable,HelloApplication,27,0,0,0,8,0,3,0,3,0
Project_Timetable,com.example.project_timetable,Hometask,226,0,28,0,48,0,23,0,9,0
Project_Timetable,com.example.project_timetable,Timetable,264,0,36,0,80,0,35,0,11,0
